y;X1;X2;X3;X4;X5;X6;X7;X8
6500;1;3;1;1;0;0;0;0
10000;0;6;1;1;1;0;0;1
9800;0;4;1;1;0;0;0;0
20000;0;3;0;0;0;0;0;0
6500;1;4;0;1;0;1;0;0
6000;1;2;0;1;0;1;0;0
12000;0;6;1;1;1;0;0;0
6500;1;4;1;1;0;1;0;0
3800;1;2;1;0;0;0;0;0
7500;1;4;0;1;0;1;0;1
7000;0;9;0;1;1;0;0;0
4500;0;7;0;1;0;1;0;0
6000;1;4;1;1;0;1;0;0
7000;0;6;1;1;1;0;0;1
5000;1;7;1;1;0;1;0;0
6500;1;9;1;1;0;1;1;0
7000;0;5;1;1;0;1;0;0
4600;1;3;0;0;0;1;0;0
4500;1;16;1;1;0;1;0;0
5500;0;9;1;1;0;1;0;0
15000;1;7;0;1;1;0;0;0
6500;1;6;1;1;0;1;0;0
4500;1;6;1;1;1;0;0;0
6000;0;6;1;1;0;1;0;0
3600;0;4;1;0;0;0;0;0
8000;1;3;0;1;0;1;0;0
5500;1;9;0;1;1;1;0;1
11000;1;5;1;1;0;0;0;1
5000;1;3;1;0;0;0;0;0
9000;0;4;0;1;0;0;0;0
9000;1;8;1;1;0;0;0;0
5500;1;8;1;0;0;0;0;0
12500;1;9;1;1;0;0;0;1
4000;0;2;0;0;0;0;0;0
12000;0;4;1;1;0;0;0;1
6500;1;11;1;1;1;0;0;0
15000;0;9;0;1;1;0;0;0
6500;1;6;0;1;0;0;0;0
5500;1;4;1;0;0;1;0;0
4800;1;8;1;1;0;0;1;0
8500;0;3;1;1;1;1;0;0
8500;1;4;0;1;1;0;0;0
3000;0;1;1;0;0;0;0;0
3900;1;2;1;0;0;0;0;0
4000;1;1;1;0;0;0;0;0
3200;1;1;1;0;0;0;0;0
5800;0;5;0;1;0;1;0;0
2700;0;1;1;0;0;0;0;0
5000;0;2;0;0;0;0;0;0
8300;1;5;1;1;0;0;0;0
5200;1;5;1;1;0;0;0;1
14000;0;10;1;1;0;0;0;0
7500;1;7;1;0;0;0;0;0
5500;1;4;1;1;0;0;0;0
4700;1;4;0;0;0;0;0;0
7000;1;10;1;1;1;0;0;0
12000;0;13;0;1;1;0;0;0
13000;1;10;1;1;1;0;0;0
3200;1;1;1;0;0;0;0;0
6500;0;7;0;1;1;1;0;1
3000;1;12;1;1;0;1;1;0
10000;1;5;1;1;0;1;0;0
4200;1;3;1;1;0;1;0;0
4000;1;3;0;1;0;1;0;0
