y;X1;X2;X3;X4;X5;X6;X7;X8
1.00;0.83;0.684210526;0.8;0.555555556;0.571428571;1.556338028;1;0.857142857
0.00;0.42;0.315789474;0.222222222;0.4;0.357142857;0.642533937;0;0.357142857
0.00;0;0.285714286;0.333333333;0.25;0;0.25;1;0.1
1.00;0.5;0.857142857;0.857142857;0.857142857;0.8;4;0;0.9
0.00;0.08;0;0;0;0;0.264705882;1;0
1.00;0.67;0.75;1;0.5;1;3.777777778;0;0.9
0.00;0.58;0.32;0.538461538;0.083333333;0.333333333;0.555555556;1;0.375
1.00;0.17;0.4;0.428571429;0.363636364;0.333333333;1.8;0;0.625
1.00;0.75;0.76;0.818181818;0.714285714;0.333333333;1.351351351;1;0.875
0.00;0.67;0.56;0.538461538;0.583333333;0;0.74;0;0.75
1.00;0.42;0.12;0.166666667;0.076923077;0;0.80952381;1;0.1875
0.00;0;0.16;0.25;0.076923077;1;1.235294118;0;0
0.00;0.08;0.19047619;0.3;0.090909091;0.333333333;0.690909091;1;0.055555556
0.00;0;0.3;0.555555556;0.090909091;0.333333333;1.447368421;0;0.111111111
1.00;0.5;0.346153846;0.384615385;0.307692308;0.5;0.941176471;1;0.444444444
0.00;0.42;0.230769231;0.384615385;0.076923077;0.5;1.0625;0;0.111111111
1.00;0.83;0.857142857;1;0.666666667;0.545454545;2.488372093;1;0.944444444
0.00;0.58;0.428571429;0.25;0.666666667;0.272727273;0.401869159;0;0.444444444
0.00;0.08;0;0;0;0;0.234567901;1;0
1.00;0.58;0.571428571;0.75;0.333333333;1;4.263157895;0;0.833333333
0.00;0.67;0.413793103;0.571428571;0.266666667;0.222222222;1.720930233;1;0.65
0.00;0.42;0.172413793;0.2;0.142857143;0.444444444;0.581081081;0;0.15
0.00;0;0;0;0;0.214285714;0.25093633;1;0
0.00;0.75;0.666666667;1;0;0.642857143;3.985074627;0;0.8
0.00;0.67;0.333333333;0.4;0.272727273;0;0.603174603;1;0.5
1.00;0.5;0.571428571;0.636363636;0.5;0.833333333;1.657894737;0;0.875
0.00;0;0.318181818;0.545454545;0.090909091;0.333333333;1.56;1;0.333333333
0.00;0.42;0.136363636;0.272727273;0;0.444444444;0.641025641;0;0.083333333
0.00;0.25;0.172413793;0.230769231;0.125;0.5;0.448598131;1;0
1.00;0.58;0.275862069;0.214285714;0.333333333;0.25;2.229166667;0;0.35
0.00;0.5;0.285714286;0.571428571;0;0;0.537634409;1;0.25
1.00;0.75;0.642857143;0.5;0.785714286;0.666666667;1.86;0;0.875
1.00;0.42;0.423076923;0.615384615;0.230769231;1;1.35;1;0.625
0.00;0.5;0.346153846;0.384615385;0.307692308;0;0.740740741;0;0.3125
1.00;0.67;0.724137931;0.785714286;0.666666667;0.604651163;2;1;0.857142857
0.00;0.5;0.517241379;0.533333333;0.5;0.162790698;0.5;0;0.642857143
0.00;0.33;0.4;0.428571429;0.375;0.181818182;0.977941176;1;0.7
0.00;0.33;0.464285714;0.571428571;0.357142857;0.545454545;1.022556391;0;0.6
0.00;0.17;0.375;0.25;0.5;0.08;0.68487395;1;0.125
1.00;0.67;0.6875;0.75;0.625;0.76;1.460122699;0;0.875
1.00;0.83;0.807692308;0.769230769;0.846153846;0.6;2.630434783;1;0.928571429
0.00;0.25;0.384615385;0.384615385;0.384615385;0.2;0.380165289;0;0.571428571
1.00;0.33;0.129032258;0.133333333;0.125;0;1.084507042;1;0.05
0.00;0.33;0.322580645;0.375;0.266666667;1;0.922077922;0;0.45
0.00;0.83;1;1;1;0;2.33;1;0.8125
1.00;0.17;0;0;0;0.333333333;0.429184549;0;0.111111111
0.00;0.42;0.12;0.083333333;0.153846154;0.333333333;0.422535211;1;0.0625
1.00;0.67;0.416666667;0.363636364;0.461538462;0.666666667;2.366666667;0;0.4375
0.00;0.75;0.333333333;0.375;0.294117647;0;0.695402299;1;0.45
1.00;0.58;0.441176471;0.470588235;0.411764706;1;1.438016529;0;0.65
0.00;0.67;0.260869565;0.25;0.272727273;0.363636364;1.09;1;0.5
0.00;0.67;0.304347826;0.333333333;0.272727273;0.636363636;0.917431193;0;0.3125
0.00;0.67;0.538461538;0.615384615;0.461538462;0.428571429;1.183431953;1;0.722222222
1.00;0.75;0.461538462;0.461538462;0.461538462;0.142857143;0.845;0;0.611111111
0.00;0.58;0.333333333;0.230769231;0.428571429;0.363636364;0.904347826;1;0.333333333
0.00;0.33;0.37037037;0.5;0.230769231;0.272727273;1.105769231;0;0.444444444
0.00;0.33;0.346153846;0.333333333;0.357142857;0.5;0.928571429;1;0.3
1.00;0.67;0.423076923;0.5;0.333333333;0.3;1.076923077;0;0.6
0.00;0.75;0.357142857;0.642857143;0.071428571;0.48;1.028776978;1;0.5
1.00;0.42;0.321428571;0.357142857;0.285714286;0.28;0.972027972;0;0.444444444
1.00;0.75;0.296296296;0.384615385;0.214285714;0.384615385;0.787234043;1;0.333333333
0.00;0.67;0.481481481;0.5;0.461538462;0.358974359;1.27027027;0;0.666666667
1.00;0.17;0.333333333;0.222222222;0.444444444;0.1;1.772727273;1;0.4375
0.00;0;0.111111111;0.111111111;0.111111111;0.5;0.564102564;0;0
1.00;0.08;0.103448276;0.142857143;0.066666667;0.3;0.398550725;1;0
0.00;0.5;0.482758621;0.571428571;0.4;0.4;2.509090909;0;0.75
1.00;0.58;0.666666667;0.846153846;0.454545455;0.272727273;1.67;1;0.875
0.00;0.58;0.32;0.583333333;0.076923077;0.431818182;0.598802395;0;0.4375
0.00;0.83;0.529411765;0.555555556;0.5;0;0.946360153;1;0.6
1.00;0.83;0.777777778;0.777777778;0.777777778;1;1.056680162;0;0.9
1.00;0.67;0.409090909;0.666666667;0.230769231;0;1;1;0.3125
0.00;0.67;0.318181818;0.363636364;0.272727273;0.5;1;0;0.125
0.00;0.42;0.3;0.4;0.2;0.333333333;0.775862069;1;0.210526316
1.00;0.5;0.548387097;0.5;0.6;0.666666667;1.288888889;0;0.894736842
0.00;0.42;0.473684211;0.555555556;0.4;0.454545455;2.64;1;0.8125
0.00;0.33;0.166666667;0.222222222;0.111111111;0.181818182;0.378787879;0;0
0.00;0.5;0.5;0.583333333;0.416666667;0.5;1.430379747;1;0.75
0.00;0.5;0.25;0.333333333;0.166666667;0.5;0.699115044;0;0.166666667
0.00;0;0.05;0;0.090909091;0;0.761904762;1;0.055555556
1.00;0.75;0.35;0.545454545;0.111111111;1;1.3125;0;0.277777778
0.00;0.5;0.392857143;0.5;0.285714286;0.272727273;0.649350649;1;0.5
